Date,IntZone,CA,Positive7Day,Positive7DayQF,DT,Days from 2020-03-01
20200308,S02001576,S12000036,,c,2020-03-08,7
20200308,S02001577,S12000036,,c,2020-03-08,7
20200308,S02001578,S12000036,,c,2020-03-08,7
20200308,S02001579,S12000036,,c,2020-03-08,7
20200308,S02001580,S12000036,,c,2020-03-08,7
20200308,S02001581,S12000036,,c,2020-03-08,7
20200308,S02001582,S12000036,,c,2020-03-08,7
20200308,S02001583,S12000036,,c,2020-03-08,7
20200308,S02001584,S12000036,,c,2020-03-08,7
20200308,S02001585,S12000036,,c,2020-03-08,7
20200308,S02001586,S12000036,,c,2020-03-08,7
20200308,S02001587,S12000036,,c,2020-03-08,7
20200308,S02001588,S12000036,,c,2020-03-08,7
20200308,S02001589,S12000036,,c,2020-03-08,7
20200308,S02001590,S12000036,,c,2020-03-08,7
20200308,S02001591,S12000036,,c,2020-03-08,7
20200308,S02001592,S12000036,,c,2020-03-08,7
20200308,S02001593,S12000036,,c,2020-03-08,7
20200308,S02001594,S12000036,,c,2020-03-08,7
20200308,S02001595,S12000036,,c,2020-03-08,7
20200308,S02001596,S12000036,,c,2020-03-08,7
20200308,S02001597,S12000036,,c,2020-03-08,7
20200308,S02001598,S12000036,,c,2020-03-08,7
20200308,S02001599,S12000036,,c,2020-03-08,7
20200308,S02001600,S12000036,,c,2020-03-08,7
20200308,S02001601,S12000036,,c,2020-03-08,7
20200308,S02001602,S12000036,,c,2020-03-08,7
20200308,S02001603,S12000036,,c,2020-03-08,7
20200308,S02001604,S12000036,,c,2020-03-08,7
20200308,S02001605,S12000036,,c,2020-03-08,7
20200308,S02001606,S12000036,,c,2020-03-08,7
20200308,S02001607,S12000036,,c,2020-03-08,7
20200308,S02001608,S12000036,,c,2020-03-08,7
20200308,S02001609,S12000036,,c,2020-03-08,7
20200308,S02001610,S12000036,,c,2020-03-08,7
20200308,S02001611,S12000036,,c,2020-03-08,7
20200308,S02001612,S12000036,,c,2020-03-08,7
20200308,S02001613,S12000036,,c,2020-03-08,7
20200308,S02001614,S12000036,,c,2020-03-08,7
20200308,S02001615,S12000036,,c,2020-03-08,7
20200308,S02001616,S12000036,,c,2020-03-08,7
20200308,S02001617,S12000036,,c,2020-03-08,7
20200308,S02001618,S12000036,,c,2020-03-08,7
20200308,S02001619,S12000036,,c,2020-03-08,7
20200308,S02001620,S12000036,,c,2020-03-08,7
20200308,S02001621,S12000036,,c,2020-03-08,7
20200308,S02001622,S12000036,,c,2020-03-08,7
20200308,S02001623,S12000036,,c,2020-03-08,7
20200308,S02001624,S12000036,,c,2020-03-08,7
20200308,S02001625,S12000036,,c,2020-03-08,7
20200308,S02001626,S12000036,,c,2020-03-08,7
20200308,S02001627,S12000036,,c,2020-03-08,7
20200308,S02001628,S12000036,,c,2020-03-08,7
20200308,S02001629,S12000036,,c,2020-03-08,7
20200308,S02001630,S12000036,,c,2020-03-08,7
20200308,S02001631,S12000036,,c,2020-03-08,7
20200308,S02001632,S12000036,,c,2020-03-08,7
20200308,S02001633,S12000036,,c,2020-03-08,7
20200308,S02001634,S12000036,,c,2020-03-08,7
20200308,S02001635,S12000036,,c,2020-03-08,7
20200308,S02001636,S12000036,,c,2020-03-08,7
20200308,S02001637,S12000036,,c,2020-03-08,7
20200308,S02001638,S12000036,,c,2020-03-08,7
20200308,S02001639,S12000036,,c,2020-03-08,7
20200308,S02001640,S12000036,,c,2020-03-08,7
20200308,S02001641,S12000036,,c,2020-03-08,7
20200308,S02001642,S12000036,,c,2020-03-08,7
20200308,S02001643,S12000036,,c,2020-03-08,7
20200308,S02001644,S12000036,,c,2020-03-08,7
20200308,S02001645,S12000036,,c,2020-03-08,7
20200308,S02001646,S12000036,,c,2020-03-08,7
20200308,S02001647,S12000036,,c,2020-03-08,7
20200308,S02001648,S12000036,,c,2020-03-08,7
20200308,S02001649,S12000036,,c,2020-03-08,7
20200308,S02001650,S12000036,,c,2020-03-08,7
20200308,S02001651,S12000036,,c,2020-03-08,7
20200308,S02001652,S12000036,,c,2020-03-08,7
20200308,S02001653,S12000036,,c,2020-03-08,7
20200308,S02001654,S12000036,,c,2020-03-08,7
20200308,S02001655,S12000036,,c,2020-03-08,7
20200308,S02001656,S12000036,,c,2020-03-08,7
20200308,S02001657,S12000036,,c,2020-03-08,7
20200308,S02001658,S12000036,,c,2020-03-08,7
20200308,S02001659,S12000036,,c,2020-03-08,7
20200308,S02001660,S12000036,,c,2020-03-08,7
20200308,S02001661,S12000036,,c,2020-03-08,7
20200308,S02001662,S12000036,,c,2020-03-08,7
20200308,S02001663,S12000036,,c,2020-03-08,7
20200308,S02001664,S12000036,,c,2020-03-08,7
20200308,S02001665,S12000036,,c,2020-03-08,7
20200308,S02001666,S12000036,,c,2020-03-08,7
20200308,S02001667,S12000036,,c,2020-03-08,7
20200308,S02001668,S12000036,,c,2020-03-08,7
20200308,S02001669,S12000036,,c,2020-03-08,7
20200308,S02001670,S12000036,,c,2020-03-08,7
20200308,S02001671,S12000036,,c,2020-03-08,7
20200308,S02001672,S12000036,,c,2020-03-08,7
20200308,S02001673,S12000036,,c,2020-03-08,7
20200308,S02001674,S12000036,,c,2020-03-08,7
20200308,S02001675,S12000036,,c,2020-03-08,7
20200308,S02001676,S12000036,,c,2020-03-08,7
20200308,S02001677,S12000036,,c,2020-03-08,7
20200308,S02001678,S12000036,,c,2020-03-08,7
20200308,S02001679,S12000036,,c,2020-03-08,7
20200308,S02001680,S12000036,,c,2020-03-08,7
20200308,S02001681,S12000036,,c,2020-03-08,7
20200308,S02001682,S12000036,,c,2020-03-08,7
20200308,S02001683,S12000036,,c,2020-03-08,7
20200308,S02001684,S12000036,,c,2020-03-08,7
20200308,S02001685,S12000036,,c,2020-03-08,7
20200308,S02001686,S12000036,,c,2020-03-08,7
20200315,S02001236,S12000033,,c,2020-03-15,14
20200315,S02001237,S12000033,,c,2020-03-15,14
20200315,S02001238,S12000033,,c,2020-03-15,14
20200315,S02001239,S12000033,,c,2020-03-15,14
20200315,S02001240,S12000033,,c,2020-03-15,14
20200315,S02001241,S12000033,,c,2020-03-15,14
20200315,S02001242,S12000033,,c,2020-03-15,14
20200315,S02001243,S12000033,,c,2020-03-15,14
20200315,S02001244,S12000033,,c,2020-03-15,14
20200315,S02001245,S12000033,,c,2020-03-15,14
20200315,S02001246,S12000033,,c,2020-03-15,14
20200315,S02001247,S12000033,,c,2020-03-15,14
20200315,S02001248,S12000033,,c,2020-03-15,14
20200315,S02001249,S12000033,,c,2020-03-15,14
20200315,S02001250,S12000033,,c,2020-03-15,14
20200315,S02001251,S12000033,,c,2020-03-15,14
20200315,S02001252,S12000033,,c,2020-03-15,14
20200315,S02001253,S12000033,,c,2020-03-15,14
20200315,S02001254,S12000033,,c,2020-03-15,14
20200315,S02001255,S12000033,,c,2020-03-15,14
20200315,S02001256,S12000033,,c,2020-03-15,14
20200315,S02001257,S12000033,,c,2020-03-15,14
20200315,S02001258,S12000033,,c,2020-03-15,14
20200315,S02001259,S12000033,,c,2020-03-15,14
20200315,S02001260,S12000033,,c,2020-03-15,14
20200315,S02001261,S12000033,,c,2020-03-15,14
20200315,S02001262,S12000033,,c,2020-03-15,14
20200315,S02001263,S12000033,,c,2020-03-15,14
20200315,S02001264,S12000033,,c,2020-03-15,14
20200315,S02001265,S12000033,,c,2020-03-15,14
20200315,S02001266,S12000033,,c,2020-03-15,14
20200315,S02001267,S12000033,,c,2020-03-15,14
20200315,S02001268,S12000033,,c,2020-03-15,14
20200315,S02001269,S12000033,,c,2020-03-15,14
20200315,S02001270,S12000033,,c,2020-03-15,14
20200315,S02001271,S12000033,,c,2020-03-15,14
20200315,S02001272,S12000033,,c,2020-03-15,14
20200315,S02001273,S12000033,,c,2020-03-15,14
20200315,S02001274,S12000033,,c,2020-03-15,14
20200315,S02001275,S12000033,,c,2020-03-15,14
20200315,S02001276,S12000033,,c,2020-03-15,14
20200315,S02001277,S12000033,,c,2020-03-15,14
20200315,S02001278,S12000033,,c,2020-03-15,14
20200315,S02001279,S12000033,,c,2020-03-15,14
